City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.9000000000000341,74,52,3.04,GS,1704157015
1,edinburgh of the seven seas,-37.0676,-12.3116,16.57000000000005,90,100,2.13,SH,1704157016
2,atafu village,-8.5421,-172.5159,28.760000000000048,68,100,1.31,TK,1704157017
3,puerto colombia,10.9878,-74.9547,27.050000000000015,79,11,11.9,CO,1704157018
4,la sarre,48.8002,-79.1996,-5.17999999999995,73,98,5.59,CA,1704156899
5,port-aux-francais,-49.35,70.2167,4.760000000000046,96,100,16.52,TF,1704157019
6,longyearbyen,78.2186,15.6401,-3.089999999999975,68,40,8.75,SJ,1704157020
7,bandon,51.7469,-8.7425,10.770000000000037,94,100,7.18,IE,1704157020
8,yellowknife,62.456,-114.3525,-16.70999999999998,85,100,4.63,CA,1704156930
9,hithadhoo,-0.6,73.0833,27.52000000000004,76,84,1.35,MV,1704157022
10,afaahiti,-17.75,-149.2833,29.930000000000007,77,100,4.59,PF,1704157023
11,cockburn town,21.4612,-71.1419,25.32000000000005,77,100,8.88,TC,1704156725
12,rabigh,22.7986,39.0349,23.18000000000001,60,0,2.96,SA,1704157025
13,ponta delgada,37.7333,-25.6667,18.439999999999998,94,75,6.17,PT,1704157025
14,adamstown,-25.066,-130.1015,23.29000000000002,82,100,4.15,PN,1704157026
15,mont-dore,-22.2833,166.5833,34.99000000000001,92,64,6.18,NC,1704157027
16,port alfred,-33.5906,26.891,18.99000000000001,90,97,2.24,ZA,1704157028
17,kendari,-3.945,122.4989,30.220000000000027,69,98,1.18,ID,1704157029
18,flying fish cove,-10.4217,105.6791,28.82000000000005,78,75,5.14,CX,1704157030
19,waitangi,-43.9535,-176.5597,16.010000000000048,77,100,3.13,NZ,1704157030
20,susuman,62.7833,148.1667,-34.44999999999999,98,100,0.89,RU,1704157031
21,portland,45.5234,-122.6762,7.710000000000036,84,100,3.13,US,1704156889
22,maragogi,-9.0122,-35.2225,26.720000000000027,76,11,3.71,BR,1704157033
23,ndjole,-0.1783,10.7649,24.05000000000001,98,100,0.79,GA,1704157033
24,albany,42.6001,-73.9662,-2.479999999999962,74,0,3.58,US,1704157034
25,kerikeri,-35.2268,173.9474,23.28000000000003,67,4,3.52,NZ,1704157035
26,belo sur tsiribihina,-19.7,44.55,25.960000000000036,89,100,5.64,MG,1704157036
27,olonkinbyen,70.9221,-8.7187,0.08000000000004251,99,100,5.0,SJ,1704157036
28,kamalapuram,14.5833,78.65,17.53000000000003,91,100,2.04,IN,1704157037
29,birobidzhan,48.8,132.95,-21.769999999999982,90,17,1.63,RU,1704157038
30,bredasdorp,-34.5322,20.0403,18.840000000000035,92,40,5.1,ZA,1704157039
31,saipan,15.1355,145.701,30.39000000000005,74,75,5.66,MP,1704157040
32,ilulissat,69.2167,-51.1,-17.96999999999997,73,27,3.69,GL,1704157040
33,bethel,41.3712,-73.414,3.8500000000000236,72,100,0.45,US,1704157041
34,kirkagac,39.1064,27.6693,9.29000000000002,91,12,1.38,TR,1704157042
35,bilibino,68.0546,166.4372,-27.649999999999977,92,100,0.89,RU,1704157043
36,tiksi,71.6872,128.8694,-29.349999999999966,100,100,0.63,RU,1704157043
37,codrington,-38.2667,141.9667,18.680000000000007,87,100,5.81,AU,1704157044
38,ocean city,39.2776,-74.5746,6.140000000000043,82,100,0.89,US,1704157050
39,thompson,55.7435,-97.8558,-5.909999999999967,86,100,5.14,CA,1704157050
40,salekhard,66.53,66.6019,-31.29999999999998,98,63,2.46,RU,1704157051
41,pandan,14.0453,124.1694,26.93000000000001,84,97,2.75,PH,1704157052
42,point pedro,9.8167,80.2333,25.610000000000014,72,100,5.07,LK,1704157053
43,blackmans bay,-43.0167,147.3167,19.29000000000002,75,97,2.01,AU,1704157055
44,akureyri,65.6835,-18.0878,3.9600000000000355,75,100,4.12,IS,1704157055
45,sisimiut,66.9395,-53.6735,-9.46999999999997,63,100,6.42,GL,1704157056
46,tyukhtet,56.5389,89.3011,-2.149999999999977,96,100,4.98,RU,1704157057
47,hawaiian paradise park,19.5933,-154.9731,26.730000000000018,77,20,5.66,US,1704157058
48,le vauclin,14.5452,-60.8388,25.030000000000033,83,0,0.51,MQ,1704157058
49,vorgashor,67.5833,63.95,-32.44999999999999,100,9,1.58,RU,1704157059
50,whitehorse,60.7161,-135.0538,-12.569999999999993,85,100,1.54,CA,1704157061
51,ushuaia,-54.8,-68.3,11.810000000000002,82,0,3.6,AR,1704157062
52,nagqu,31.5,92.0,-14.149999999999977,77,100,1.07,CN,1704157064
53,keetmanshoop,-26.5833,18.1333,26.510000000000048,41,74,3.6,NA,1704157064
54,ribeira grande,38.5167,-28.7,18.210000000000036,93,100,6.26,PT,1704157065
55,puerto natales,-51.7236,-72.4875,12.410000000000025,90,100,1.11,CL,1704157066
56,amga,60.8953,131.9608,-27.25999999999999,100,97,0.5,RU,1704157067
57,myeik,12.4333,98.6,24.930000000000007,76,24,1.31,MM,1704157067
58,west island,-12.1568,96.8225,26.990000000000013,89,96,9.26,CC,1704157068
59,sanctuary point,-35.1114,150.629,27.770000000000042,67,58,6.42,AU,1704157070
60,tazovsky,67.4667,78.7,-30.69999999999999,97,6,4.08,RU,1704157071
